Timestamp,Select your team,Trust & Safety,Dependability,Purpose,Delivering Value,Team Autonomy,Teamwork,Continuously Improve,Decisions,Sustainable pace,Feedback,Integrity,One most important thing you want to improve as soon as possible
24/03/2020 11:38:19,Other,4,4,2,4,4,4,2,4,3,2,3,
24/03/2020 11:43:22,Other,9,8,8,5,7,8,8,8,8,8,8,Set focus more on quality
24/03/2020 12:14:59,Other,7,8,7,4,4,6,4,6,3,4,4,"Structure, organization, communication"
16/03/2020 11:52:19,Team Blue,8,10,8,8,9,10,8,8,6,8,6,not to plan 100% capacity but make place for unpredictable problems 
16/03/2020 11:58:52,Team Blue,10,7,6,4,1,4,5,1,4,5,5,Add a business value for each team task.
16/03/2020 12:00:18,Team Blue,8,8,8,5,6,8,7,5,8,7,7,customer collaboration
16/03/2020 12:25:23,Team Blue,10,10,10,10,10,6,7,8,10,8,6,reduce the number of meetings
16/03/2020 12:36:44,Team Blue,9,7,4,4,6,8,6,6,7,6,7,"Much less leftovers - maybe take less, but improve the persentage"
16/03/2020 12:59:58,Team Blue,8,8,3,6,7,7,7,7,6,9,7,"I want to receive feedback from the customer, not just from managers. Be closer to customer"
16/03/2020 13:03:35,Team Blue,9,9,8,9,7,7,9,7,6,8,7,
17/03/2020 12:25:05,Team Blue,7,6,5,1,4,3,2,4,8,5,4,"Splitting the teams, the current team size is too large."
24/03/2020 11:51:25,Team Blue,6,9,8,3,7,7,8,6,3,8,6,methodology 
24/03/2020 11:56:43,Team Blue,8,8,8,8,8,5,8,8,8,5,8,
24/03/2020 12:17:20,Team Blue,7,7,6,6,4,5,6,5,3,3,4,
24/03/2020 12:25:46,Team Blue,9,9,7,4,5,7,6,8,3,7,9,
24/03/2020 12:38:48,Team Blue,6,3,8,7,8,6,5,6,4,4,4,
16/03/2020 11:59:31,Team Green,7,7,1,1,1,3,2,2,9,7,5,split big teams already
16/03/2020 12:47:39,Team Green,8,9,6,7,8,9,8,8,8,9,9,
16/03/2020 12:59:25,Team Green,6,8,7,3,6,1,1,6,5,7,1,Sence that the whole team responsible for products quality
16/03/2020 13:19:12,Team Green,8,9,8,9,3,7,8,9,6,7,9,
16/03/2020 13:27:28,Team Green,9,10,7,8,9,9,8,8,9,8,7,
16/03/2020 17:45:21,Team Green,10,10,10,8,8,10,6,10,10,10,10,
16/03/2020 23:45:38,Team Green,8,8,5,6,5,5,6,7,7,3,7,
24/03/2020 12:15:42,Team Green,10,8,9,8,9,5,7,9,6,4,9,
16/03/2020 17:27:15,Team Red,9,7,9,7,7,7,7,7,7,8,7,
16/03/2020 17:27:58,Team Red,8,8,8,9,8,8,8,8,4,8,8,
16/03/2020 17:44:33,Team Red,10,7,7,5,1,7,6,6,7,7,8,"More deeply planing, preventing risks, finding connections between teams"
16/03/2020 17:50:15,Team Red,8,8,7,6,7,8,7,8,8,6,7,
16/03/2020 17:52:39,Team Red,1,1,1,1,1,1,1,1,1,1,1,
16/03/2020 18:45:06,Team Red,9,6,7,7,10,10,7,7,8,6,8,Automation
17/03/2020 12:43:47,Team Red,9,10,8,8,7,8,7,8,7,10,10,
16/03/2020 13:17:16,Team Yellow,5,6,3,5,1,2,3,2,1,3,2,
24/03/2020 11:48:45,Team Yellow,8,9,7,7,8,8,8,8,8,8,8,
24/03/2020 11:53:41,Team Yellow,10,10,8,8,10,8,10,8,7,8,8,
24/03/2020 11:57:50,Team Yellow,6,8,8,8,10,10,8,8,6,9,9,
24/03/2020 12:01:02,Team Yellow,7,4,5,8,8,7,7,9,6,8,2,
24/03/2020 12:16:02,Team Yellow,9,6,7,6,6,9,8,7,3,10,10,
24/03/2020 12:19:09,Team Yellow,10,10,10,10,1,10,10,10,10,10,10,
24/03/2020 12:45:17,Other,9,10,6,9,7,8,7,9,9,9,9,More data shared how the internal design is made
24/03/2020 12:53:31,Team Blue,5,7,8,6,5,5,7,7,4,5,5,Realistic planning and not taking tasks which aren't in the sprint
24/03/2020 13:12:12,Team Yellow,10,10,8,8,8,6,4,8,2,8,8,"Empower collaboration between ""silos"" (DEV/QA). Let DEVs support QA better and vice versa."
24/03/2020 13:12:23,Team Red,9,9,10,10,9,7,8,8,8,8,8,
24/03/2020 13:21:18,Team Yellow,8,9,8,7,7,6,7,9,8,7,7,
24/03/2020 13:35:39,Team Yellow,6,8,10,8,8,8,7,8,8,6,8,Communication
24/03/2020 13:42:54,Other,4,6,8,7,6,4,3,5,3,5,3,"transparency on who does what and when in particular situations (e.g. contact persons, workflows, ...)"
24/03/2020 13:56:55,Stakeholders,9,9,9,10,8,8,8,8,7,8,9,
24/03/2020 16:43:22,Team Yellow,7,7,7,7,9,9,10,8,9,9,9,
24/03/2020 16:54:45,Team Green,10,10,10,10,8,6,7,8,7,8,10,The earlier roadmap-vision from the customer side.
